timestamp_ms,qp_id,bytes,start_ns,last_ns,last_bps,below_ns_accum
1763637712845,1335,11633334,87312325471502,87312349221255,3780866081,0
1763637712845,1330,8472960,87312281701670,87312349182748,988852287,0
1763637712845,1333,1247260,87312342554828,87312348086003,1185602403,0
1763637712845,1340,435484,87312345900882,87312349264038,994538683,0
1763637712845,1328,16085418,87312264464982,87312349056578,1235375507,0
1763637712845,1341,5616890,87312325824614,87312349278941,1903625341,0
1763637712845,1342,21679078,87312323477658,87312349118071,6753642015,0
1763637712845,1332,4272402,87312319912623,87312349353294,930719709,0
1763637712845,1331,2498764,87312329425734,87312349400830,1009260424,0
1763637712845,1327,6073514,87312294032730,87312349347013,965890789,0
1763637712845,1338,7079794,87312269679858,87312349384803,972210120,0
1763637712946,1334,13009556,87312402100578,87312449679607,813466577,0
1763637712946,1336,2591748,87312412157480,87312437917771,911669239,0
1763637712946,1329,5967814,87312427389851,87312449709795,1914158537,0
1763637712946,1339,9176882,87312392850139,87312448743936,1048234929,0
1763637712946,1337,5029198,87312399112414,87312449634693,1001690039,0
1763637712946,1335,12929224,87312425471708,87312449761161,3832856479,0
1763637712946,1330,7424400,87312381826903,87312449802817,999634575,0
1763637712946,1333,410116,87312442570202,87312448787813,1059585518,0
1763637712946,1340,488326,87312445930605,87312449810206,957646903,0
1763637712946,1328,14066556,87312364903665,87312448839044,1368836909,0
1763637712946,1341,6396964,87312425862582,87312449887646,1912218743,0
1763637712946,1342,22287910,87312423479047,87312449687006,6729409320,0
1763637712946,1332,4650800,87312420912887,87312449957366,870828497,0
1763637712946,1331,1524202,87312429480322,87312451605347,1013913964,0
1763637712946,1327,9912538,87312394114584,87312450730739,991242293,0
1763637712946,1338,5115880,87312389709581,87312429785005,808128697,0
1763637713052,1334,10238110,87312502590781,87312554981214,1491647406,0
1763637713052,1336,4644450,87312513151443,87312556077233,794513160,0
1763637713052,1329,6965622,87312527476514,87312556145761,1943884873,0
1763637713052,1339,9291022,87312493012248,87312556077671,1090006108,0
1763637713052,1337,7291210,87312499154996,87312556206004,953641089,0
1763637713052,1335,14711318,87312525516103,87312556198621,3899410374,0
1763637713052,1330,9534188,87312481841296,87312556211428,959674540,0
1763637713052,1333,881530,87312543159074,87312556221345,729279238,0
1763637713052,1340,1352960,87312545949643,87312556212313,990144986,0
1763637713052,1328,1101386,87312498937324,87312556222223,1134934604,0
1763637713052,1341,7365176,87312525900865,87312556269387,1944321694,0
1763637713052,1342,27361510,87312523483624,87312556093936,6728009281,0
1763637713052,1332,2676324,87312521250256,87312554746872,995847520,0
1763637713052,1331,3464854,87312529504763,87312556357070,961190362,0
1763637713052,1327,8525770,87312494717618,87312555190607,1113915978,0
1763637713052,1338,17763934,87312489715240,87312556218526,859901832,0
1763637713153,1334,5394928,87312603038056,87312655081048,1393364216,0
1763637713153,1336,3099124,87312613785116,87312655258352,760675373,0
1763637713153,1329,7177022,87312627550070,87312656724948,1933527932,0
1763637713153,1339,11041414,87312593106590,87312656732772,1174888167,0
1763637713153,1337,4521854,87312599155597,87312656726765,959234045,0
1763637713153,1335,15064364,87312625516206,87312656703660,3873020085,0
1763637713153,1330,14089802,87312583182056,87312656657584,989415212,0
1763637713153,1333,657446,87312645790612,87312655082372,746773539,0
1763637713153,1340,2162614,87312646368137,87312656724510,1005959660,0
1763637713153,1328,6007988,87312599326539,87312656842557,694741770,0
1763637713153,1341,7574454,87312626102873,87312656855050,1934792494,0
1763637713153,1342,27720890,87312623483755,87312656679146,6688730365,0
1763637713153,1332,5671870,87312621328011,87312656137362,999228130,0
1763637713153,1331,1782094,87312630907045,87312656984956,917062991,0
1763637713153,1327,4614870,87312594728634,87312656982437,1018520503,0
1763637713153,1338,17520848,87312589719381,87312658641520,1429916707,0
1763637713255,1334,7673820,87312703083396,87312758843143,1120811887,0
1763637713255,1336,6885290,87312713794398,87312756702809,761668531,0
1763637713255,1329,7538524,87312727579552,87312758914711,1921672199,0
1763637713255,1339,6498420,87312693590467,87312758449067,1200834189,0
1763637713255,1337,10978010,87312700268622,87312760639327,805185761,0
1763637713255,1335,16876054,87312725519030,87312760647008,3856898290,0
1763637713255,1330,5802938,87312683182317,87312759614894,1239763501,0
1763637713255,1333,2071720,87312745790698,87312760635602,841171647,0
1763637713255,1340,883652,87312747195775,87312759614452,958958378,0
1763637713255,1328,8546894,87312699356145,87312760713978,783233843,0
1763637713255,1341,8284758,87312726189281,87312760643146,1922606229,0
1763637713255,1342,31183622,87312723494618,87312760611082,6674483591,0
1763637713255,1332,4502836,87312722707625,87312760782121,1091569998,0
1763637713255,1331,5346314,87312730969724,87312760840515,912418443,0
1763637713255,1327,8052218,87312695416509,87312760783015,825537618,0
1763637713255,1338,9677908,87312689738948,87312760831881,1693550472,0
1763637713359,1334,8240372,87312803118416,87312863107214,1106979493,0
1763637713359,1336,6976200,87312814543998,87312863113837,941743847,0
1763637713359,1329,8422176,87312827656708,87312863094403,1898981623,0
1763637713359,1339,6650644,87312793633751,87312861986878,997676504,0
1763637713359,1337,4331578,87312834528682,87312861335579,831187296,0
1763637713359,1335,17992246,87312825524307,87312863170491,3813022976,0
1763637713359,1330,10677806,87312783220435,87312863121618,975490439,0
1763637713359,1333,2414204,87312845814673,87312863207021,972968429,0
1763637713359,1340,2094982,87312848110302,87312863114983,966152906,0
1763637713359,1328,8942220,87312799381169,87312863210681,948981846,0
1763637713359,1341,8825942,87312826254000,87312863268000,1898297980,0
1763637713359,1342,33416006,87312823503187,87312863080908,6684178036,0
1763637713359,1332,6200354,87312823224514,87312863290061,1034553488,0
1763637713359,1331,3866498,87312831050557,87312862714510,1068605723,0
1763637713359,1327,6559734,87312795531467,87312861987760,874612602,0
1763637713359,1338,10026710,87312789767250,87312863434075,1387975825,0
1763637713461,1334,8436934,87312903167971,87312964665452,1096856401,0
